"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"135","Bolivia (Plurinational State of):BOL","Brazil:BRA",2402631955,8812863732,"BOL","BRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"136","Bolivia (Plurinational State of):BOL","Areas, nes:",1093456,15200976,"BOL","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"137","Bolivia (Plurinational State of):BOL","Argentina:ARG",495750500,1344320539,"BOL","ARG","Natural gas, in gaseous state",2010
"138","Bolivia (Plurinational State of):BOL","Brazil:BRA",2302023638,7512505176,"BOL","BRA","Natural gas, in gaseous state",2010
"139","Bolivia (Plurinational State of):BOL","Argentina:ARG",161800370,2313342473,"BOL","ARG","Natural gas, in gaseous state",2005
"140","Bolivia (Plurinational State of):BOL","Brazil:BRA",822147800,11495199945,"BOL","BRA","Natural gas, in gaseous state",2005
"141","Botswana:BWA","Namibia:NAM",69708,202288,"BWA","NAM","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"142","Botswana:BWA","Zambia:ZMB",510,150,"BWA","ZMB","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"143","Botswana:BWA","Namibia:NAM",703,267,"BWA","NAM","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"144","Botswana:BWA","South Africa:ZAF",32,2,"BWA","ZAF","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"145","Botswana:BWA","Namibia:NAM",7625,42003,"BWA","NAM","Natural gas, liquefied",2010
"146","Botswana:BWA","South Africa:ZAF",342,20,"BWA","ZAF","Natural gas, liquefied",2010
"147","Botswana:BWA","Zimbabwe:ZWE",32834,17516,"BWA","ZWE","Natural gas, liquefied",2010
"148","Botswana:BWA","Zambia:ZMB",1271,1328,"BWA","ZMB","Natural gas, liquefied",2010
"149","Botswana:BWA","Namibia:NAM",1788,663,"BWA","NAM","Natural gas, in gaseous state",2010
"150","Botswana:BWA","Zimbabwe:ZWE",12020,7542,"BWA","ZWE","Natural gas, in gaseous state",2010
"151","Botswana:BWA","Namibia:NAM",570,345,"BWA","NAM","Natural gas, liquefied",2005
"152","Botswana:BWA","South Africa:ZAF",35303,47030,"BWA","ZAF","Natural gas, liquefied",2005
"153","Botswana:BWA","Zimbabwe:ZWE",127296,140863,"BWA","ZWE","Natural gas, liquefied",2005
"154","Botswana:BWA","Zambia:ZMB",8039,10006,"BWA","ZMB","Natural gas, liquefied",2005
"155","Botswana:BWA","Namibia:NAM",2072,1063,"BWA","NAM","Natural gas in gaseous state",2005
"156","Botswana:BWA","South Africa:ZAF",1934,2510,"BWA","ZAF","Natural gas in gaseous state",2005
"157","Botswana:BWA","Zimbabwe:ZWE",2165,756,"BWA","ZWE","Natural gas in gaseous state",2005
"158","Botswana:BWA","Zambia:ZMB",458,213,"BWA","ZMB","Natural gas in gaseous state",2005
"159","Brazil:BRA","Nigeria:NGA",560459,1367838,"BRA","NGA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"160","Brazil:BRA","USA:USA",200,9,"BRA","USA","Natural gas, liquefied",2005
"161","Brazil:BRA","Chile:CHL",282,14,"BRA","CHL","Natural gas, in gaseous state",2005
"162","Brunei Darussalam:BRN","Japan:JPN",2257198819,4139485952,"BRN","JPN","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"163","Brunei Darussalam:BRN","Rep. of Korea:KOR",723669720,1316357128,"BRN","KOR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"164","Brunei Darussalam:BRN","Kuwait:KWT",57567496,129053440,"BRN","KWT","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"165","Brunei Darussalam:BRN","Malaysia:MYS",79069196,124413940,"BRN","MYS","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"166","Brunei Darussalam:BRN","Other Asia, nes:",421263416,771936408,"BRN","","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"167","Bulgaria:BGR","TFYR of Macedonia:MKD",964068,1615648,"BGR","MKD","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"168","Bulgaria:BGR","United Kingdom:GBR",456,3,"BGR","GBR","Natural gas, liquefied",2005
"169","Burkina Faso:BFA","Ghana:GHA",2806,5000,"BFA","GHA","Natural gas, liquefied",2010
"170","Cameroon:CMR","USA:USA",879,100,"CMR","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"171","Cameroon:CMR","Central African Rep.:CAF",136,14,"CMR","CAF","Natural gas, liquefied",2005
"172","Cameroon:CMR","Equatorial Guinea:GNQ",116107,157013,"CMR","GNQ","Natural gas, liquefied",2010
"173","Canada:CAN","USA:USA",7846156915,16076698152,"CAN","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"174","Canada:CAN","USA:USA",15173349042,28836987266,"CAN","USA","Natural gas, in gaseous state",2010
"175","Canada:CAN","Pakistan:PAK",40322,157555,"CAN","PAK","Natural gas, liquefied",2005
"176","Canada:CAN","USA:USA",29679501637,154186880041,"CAN","USA","Natural gas, in gaseous state",2005
